ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
017.92,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
017.93,3.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
017.94,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
017.95,4.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
017.96,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
018.00,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
018.03,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
018.04,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
018.05,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
018.06,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
018.80,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
018.83,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
018.84,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
018.85,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
018.90,58.0,12.0,25.0,12.0,4.0,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,
018.92,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
018.93,31.0,16.0,6.0,5.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
018.94,15.0,7.0,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
018.95,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
018.96,7.0,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
020.2,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
020.9,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
021.9,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
